created_at,entry_id,temperature,humidity,treadmill,elliptical_trainer,stationary_bike,rowing_machine
2024-09-20 18:07:49 UTC,1,29.46,,,,,
2024-09-20 18:11:24 UTC,2,21.22,,,,,
2024-09-20 18:13:51 UTC,3,20.0,,,,,
2024-09-20 18:14:22 UTC,4,18.99,,,,,
2024-09-20 18:14:53 UTC,5,22.1,,,,,
2024-09-20 18:15:24 UTC,6,20.28,,,,,
2024-09-20 18:15:55 UTC,7,26.88,,,,,
2024-09-20 18:16:26 UTC,8,23.67,,,,,
2024-09-20 18:16:57 UTC,9,19.16,,,,,
2024-09-20 18:17:28 UTC,10,18.58,,,,,
2024-09-20 18:17:59 UTC,11,24.02,,,,,
2024-09-20 18:18:30 UTC,12,19.46,,,,,
2024-09-20 18:19:01 UTC,13,26.72,,,,,
2024-09-20 18:21:41 UTC,14,28.92,,,,,
2024-09-20 18:22:12 UTC,15,24.91,,,,,
2024-09-20 18:22:43 UTC,16,21.67,,,,,
2024-09-20 18:28:07 UTC,17,24.24,,,,,
2024-09-20 18:28:38 UTC,18,21.41,,,,,
2024-09-20 18:29:09 UTC,19,23.47,,,,,
2024-09-20 18:29:40 UTC,20,22.39,,,,,
2024-09-20 18:30:11 UTC,21,22.69,,,,,
2024-09-20 18:30:42 UTC,22,23.63,,,,,
2024-09-20 18:31:13 UTC,23,25.0,,,,,
2024-09-20 18:31:43 UTC,24,,,0.0,,,
2024-09-20 18:32:14 UTC,25,,,2.0,,,
2024-09-20 18:39:24 UTC,26,25.77,,,,,
2024-09-20 18:39:55 UTC,27,20.23,,,,,
2024-09-20 18:40:26 UTC,28,26.28,,,,,
2024-09-20 18:40:57 UTC,29,25.27,,,,,
2024-09-20 18:41:28 UTC,30,29.53,,,,,
2024-09-20 18:41:59 UTC,31,18.95,,,,,
2024-09-20 18:42:30 UTC,32,19.61,,,,,
2024-09-20 18:43:01 UTC,33,18.58,,,,,
2024-09-20 18:43:32 UTC,34,22.81,,,,,
2024-09-20 18:44:03 UTC,35,22.46,,,,,
2024-09-20 18:44:34 UTC,36,28.45,,,,,
2024-09-20 18:45:05 UTC,37,28.82,,,,,
2024-09-20 18:45:36 UTC,38,18.42,,,,,
2024-09-20 18:46:07 UTC,39,25.91,,,,,
2024-09-20 18:46:38 UTC,40,24.82,,,,,
2024-09-20 18:47:09 UTC,41,27.6,,,,,
2024-09-20 18:47:40 UTC,42,18.08,,,,,
2024-09-20 18:48:11 UTC,43,22.83,,,,,
2024-09-20 18:48:42 UTC,44,29.33,,,,,
2024-09-20 18:49:13 UTC,45,29.82,,,,,
2024-09-20 18:49:44 UTC,46,22.22,,,,,
2024-09-20 18:50:15 UTC,47,28.93,,,,,
2024-09-20 18:50:46 UTC,48,26.39,,,,,
2024-09-20 18:51:17 UTC,49,26.36,,,,,
2024-09-20 18:51:48 UTC,50,27.24,,,,,
2024-09-20 18:52:19 UTC,51,22.22,,,,,
2024-09-20 18:52:50 UTC,52,29.47,,,,,
2024-09-20 18:53:21 UTC,53,28.7,,,,,
2024-09-20 18:53:52 UTC,54,26.78,,,,,
2024-09-20 18:54:24 UTC,55,25.59,,,,,
2024-09-20 18:54:54 UTC,56,19.34,,,,,
2024-09-20 18:55:39 UTC,57,27.79,,,,,
2024-09-20 18:56:09 UTC,58,25.94,,,,,
2024-09-20 18:56:41 UTC,59,18.18,,,,,
2024-09-20 18:57:12 UTC,60,23.77,,,,,
2024-09-20 18:57:43 UTC,61,28.47,,,,,
2024-09-20 18:58:14 UTC,62,25.75,,,,,
2024-09-20 18:58:45 UTC,63,23.15,,,,,
2024-09-20 18:59:15 UTC,64,18.63,,,,,
2024-09-20 18:59:47 UTC,65,26.91,,,,,
2024-09-20 19:00:17 UTC,66,29.35,,,,,
2024-09-20 19:00:48 UTC,67,26.99,,,,,
2024-09-20 19:11:46 UTC,68,19.52,,,,,
2024-09-20 19:12:17 UTC,69,29.76,,,,,
2024-09-20 19:21:14 UTC,70,20.24,,,,,
2024-09-20 19:21:45 UTC,71,19.18,,,,,
2024-09-20 19:22:16 UTC,72,18.41,,,,,
2024-09-20 19:22:47 UTC,73,28.28,,,,,
2024-09-20 19:23:18 UTC,74,21.79,,,,,
2024-09-20 19:23:49 UTC,75,26.19,,,,,
2024-09-20 19:24:20 UTC,76,22.4,,,,,
2024-09-20 19:24:51 UTC,77,23.91,,,,,
2024-09-20 19:25:22 UTC,78,20.96,,,,,
2024-09-20 19:25:53 UTC,79,18.03,,,,,
2024-09-20 19:26:24 UTC,80,21.92,,,,,
2024-09-20 19:26:55 UTC,81,19.23,,,,,
2024-09-20 19:27:34 UTC,82,28.53,47.1,,,,
2024-09-20 19:28:05 UTC,83,19.38,68.08,2.0,6.0,5.0,5.0
2024-09-20 19:28:36 UTC,84,26.34,66.99,3.0,5.0,2.0,2.0
2024-09-20 19:29:07 UTC,85,26.38,49.35,10.0,10.0,7.0,10.0
2024-09-20 19:29:38 UTC,86,20.61,32.56,9.0,1.0,1.0,10.0
2024-09-20 19:31:45 UTC,87,22.67,53.02,,,,
2024-09-20 19:35:04 UTC,88,24.53,44.44,,,,
2024-09-20 19:35:35 UTC,89,24.62,69.25,5.0,9.0,6.0,10.0
2024-09-20 19:36:06 UTC,90,21.1,69.74,3.0,3.0,2.0,1.0
2024-09-20 19:36:37 UTC,91,25.75,36.91,1.0,2.0,8.0,5.0
2024-10-21 09:42:44 UTC,92,20.89,46.36471172915852,,,,
2024-10-25 13:43:25 UTC,93,21.83,50.01553968502241,,,,
2024-10-25 13:45:51 UTC,94,,,,3.0,,
2024-10-25 13:46:08 UTC,95,,,6.0,4.0,5.0,
2024-10-25 13:46:28 UTC,96,22.02,49.955251582975045,7.0,3.0,4.0,
2024-10-25 13:46:47 UTC,97,21.92,50.28656644467264,8.0,2.0,5.0,
2024-10-28 09:47:16 UTC,98,21.76,50.41966901221462,,,,
2024-10-28 09:47:40 UTC,99,21.66,50.150764683482656,4.0,3.0,7.0,
2024-10-28 09:47:55 UTC,100,21.66,50.150764683482656,3.0,2.0,7.0,
2024-10-28 09:48:16 UTC,101,21.56,50.52339500897923,2.0,1.0,6.0,
2024-10-28 09:48:34 UTC,102,21.46,50.68114184358799,3.0,1.0,5.0,
2024-10-28 09:48:52 UTC,103,21.46,50.68114184358799,3.0,2.0,4.0,
