created_at,entry_id,temperature,humidity
2024-09-20 18:07:49 UTC,1,26.01,
2024-09-20 18:11:25 UTC,2,20.17,
2024-09-20 18:13:52 UTC,3,18.54,
2024-09-20 18:14:23 UTC,4,22.82,
2024-09-20 18:14:54 UTC,5,20.52,
2024-09-20 18:15:25 UTC,6,29.75,
2024-09-20 18:15:56 UTC,7,24.25,
2024-09-20 18:16:27 UTC,8,18.4,
2024-09-20 18:16:58 UTC,9,27.77,
2024-09-20 18:17:29 UTC,10,27.0,
2024-09-20 18:18:00 UTC,11,20.15,
2024-09-20 18:18:31 UTC,12,25.05,
2024-09-20 18:19:02 UTC,13,24.49,
2024-09-20 18:21:43 UTC,14,19.24,
2024-09-20 18:22:14 UTC,15,23.42,
2024-09-20 18:22:45 UTC,16,18.68,
2024-09-20 18:28:09 UTC,17,18.09,
2024-09-20 18:28:40 UTC,18,28.26,
2024-09-20 18:29:11 UTC,19,27.76,
2024-09-20 18:29:42 UTC,20,27.86,
2024-09-20 18:30:13 UTC,21,18.62,
2024-09-20 18:30:44 UTC,22,18.91,
2024-09-20 18:31:15 UTC,23,28.16,
2024-09-20 18:39:26 UTC,24,24.7,
2024-09-20 18:39:57 UTC,25,22.25,
2024-09-20 18:40:28 UTC,26,24.85,
2024-09-20 18:40:59 UTC,27,18.66,
2024-09-20 18:41:30 UTC,28,26.25,
2024-09-20 18:42:01 UTC,29,29.43,
2024-09-20 18:42:32 UTC,30,19.24,
2024-09-20 18:43:03 UTC,31,19.21,
2024-09-20 18:43:34 UTC,32,29.95,
2024-09-20 18:44:05 UTC,33,28.02,
2024-09-20 18:44:36 UTC,34,24.02,
2024-09-20 18:45:07 UTC,35,27.7,
2024-09-20 18:45:38 UTC,36,27.5,
2024-09-20 18:46:09 UTC,37,19.22,
2024-09-20 18:46:40 UTC,38,24.86,
2024-09-20 18:47:11 UTC,39,29.49,
2024-09-20 18:47:42 UTC,40,27.64,
2024-09-20 18:48:13 UTC,41,18.89,
2024-09-20 18:48:44 UTC,42,19.79,
2024-09-20 18:49:15 UTC,43,25.48,
2024-09-20 18:49:46 UTC,44,24.75,
2024-09-20 18:50:17 UTC,45,22.35,
2024-09-20 18:50:48 UTC,46,23.68,
2024-09-20 18:51:19 UTC,47,19.65,
2024-09-20 18:51:50 UTC,48,27.84,
2024-09-20 18:52:21 UTC,49,27.28,
2024-09-20 18:52:52 UTC,50,22.71,
2024-09-20 18:53:23 UTC,51,21.45,
2024-09-20 18:53:54 UTC,52,25.41,
2024-09-20 18:54:25 UTC,53,29.7,
2024-09-20 18:54:56 UTC,54,22.13,
2024-09-20 18:55:40 UTC,55,26.62,
2024-09-20 18:56:11 UTC,56,19.97,
2024-09-20 18:56:42 UTC,57,22.67,
2024-09-20 18:57:13 UTC,58,19.01,
2024-09-20 18:57:44 UTC,59,29.28,
2024-09-20 18:58:16 UTC,60,18.94,
2024-09-20 18:58:46 UTC,61,29.55,
2024-09-20 18:59:17 UTC,62,27.87,
2024-09-20 18:59:48 UTC,63,24.72,
2024-09-20 19:00:19 UTC,64,26.93,
2024-09-20 19:00:50 UTC,65,22.76,
2024-09-20 19:11:48 UTC,66,29.16,
2024-09-20 19:12:18 UTC,67,29.75,
2024-09-20 19:21:16 UTC,68,27.19,
2024-09-20 19:21:46 UTC,69,24.03,
2024-09-20 19:22:18 UTC,70,19.21,
2024-09-20 19:22:49 UTC,71,20.7,
2024-09-20 19:23:20 UTC,72,27.53,
2024-09-20 19:23:51 UTC,73,28.73,
2024-09-20 19:24:21 UTC,74,29.22,
